admin2_name,admin1_name,admin2_pcode,worldpop_raster_nodata,worldpop_raw_sum,worldpop_clean_sum,worldpop_negative_cell_count,worldpop_valid_cell_count
Kinango,Kwale,KE002010,-99999.0,379191.1712001464,379191.1712001464,0,143321
Kinangop,Nyandarua,KE018089,-99999.0,159369.6486405505,159369.6486405505,0,45922
Kipipiri,Nyandarua,KE018090,-99999.0,159623.18161051418,159623.18161051418,0,69576
Kipkelion East,Kericho,KE035188,-99999.0,157458.0872724023,157458.0872724023,0,43574
Kipkelion West,Kericho,KE035189,-99999.0,156938.57912231504,156938.57912231504,0,37339
Kirinyaga Central,Kirinyaga,KE020103,-99999.0,274611.91354498756,274611.91354498756,0,16975
Kisauni,Mombasa,KE001003,-99999.0,212045.0277018112,212045.0277018112,0,8812
Kisumu Central,Kisumu,KE042240,-99999.0,193743.66656095133,193743.66656095133,0,3799
Kisumu East,Kisumu,KE042238,-99999.0,288103.2847556154,288103.2847556154,0,13742
Kisumu West,Kisumu,KE042239,-99999.0,218546.2970062163,218546.2970062163,0,24758
Kitui Central,Kitui,KE015072,-99999.0,160500.89513176488,160500.89513176488,0,67504
Kitui East,Kitui,KE015073,-99999.0,154734.93994330915,154734.93994330915,0,145266
Kitui Rural,Kitui,KE015071,-99999.0,129154.21464606916,129154.21464606916,0,119017
Kitui South,Kitui,KE015074,-99999.0,204939.42231407133,204939.42231407133,0,231125
Kitui West,Kitui,KE015070,-99999.0,126869.24864644161,126869.24864644161,0,66080
Kitutu Chache North,Kisii,KE045268,-99999.0,117541.68383897562,117541.68383897562,0,15241
Kitutu Chache South,Kisii,KE045269,-99999.0,142288.5527265286,142288.5527265286,0,11423
Kitutu Masaba,Nyamira,KE046270,-99999.0,217261.85577730765,217261.85577730765,0,29551
Konoin,Bomet,KE036198,-99999.0,187810.63796842296,187810.63796842296,0,38976
Kuresoi North,Nakuru,KE032171,-99999.0,229570.5377979164,229570.5377979164,0,53380
Kuresoi South,Nakuru,KE032170,-99999.0,195053.640045985,195053.640045985,0,57891
Kuria East,Migori,KE044260,-99999.0,139249.2650605527,139249.2650605527,0,25750
Kuria West,Migori,KE044259,-99999.0,227331.62639986386,227331.62639986386,0,37468
Kwanza,Trans Nzoia,KE026136,-99999.0,221418.72331890825,221418.72331890825,0,45931
Lafey,Mandera,KE009044,-99999.0,97133.4085204089,97133.4085204089,0,10815
Lagdera,Garissa,KE007029,-99999.0,182138.5748750111,182138.5748750111,0,17657
Laikipia East,Laikipia,KE031164,-99999.0,335719.3411369874,335719.3411369874,0,154183
Laikipia North,Laikipia,KE031165,-99999.0,112144.6406481966,112144.6406481966,0,85412
Laikipia West,Laikipia,KE031163,-99999.0,191760.91023756072,191760.91023756072,0,69387
Laisamis,Marsabit,KE010048,-99999.0,131761.67853715154,131761.67853715154,0,31938
Lamu East,Lamu,KE005021,-99999.0,16405.803447234444,16405.803447234444,0,3697
Lamu West,Lamu,KE005022,-99999.0,156758.166700846,156758.166700846,0,74886
Langata,Nairobi,KE047277,-99999.0,288737.38320907555,288737.38320907555,0,11951
Lari,Kiambu,KE022122,-99999.0,149377.23485533445,149377.23485533445,0,26415
Likoni,Mombasa,KE001005,-99999.0,332581.6868033542,332581.6868033542,0,5412
Likuyani,Kakamega,KE037200,-99999.0,184595.84479271065,184595.84479271065,0,30951
Limuru,Kiambu,KE022121,-99999.0,182384.8861744596,182384.8861744596,0,22710
Loima,Turkana,KE023126,-99999.0,138434.11339042123,138434.11339042123,0,98135
Luanda,Vihiga,KE038214,-99999.0,123827.57571257651,123827.57571257651,0,9795
Lugari,Kakamega,KE037199,-99999.0,205614.26630863964,205614.26630863964,0,36641
Lunga Lunga,Kwale,KE002008,-99999.0,248936.66701922333,248936.66701922333,0,95813
Lurambi,Kakamega,KE037202,-99999.0,216549.04104825272,216549.04104825272,0,18422
Maara,Tharaka-Nithi,KE013061,-99999.0,128091.95823282289,128091.95823282289,0,31930
Machakos Town,Machakos,KE016081,-99999.0,244746.00283350883,244746.00283350883,0,60189
